id,name,percent_general,percent_unitary,daily_courtesy,active,daily_maximum,daily_minimum,payers_minimum,applicable_in
a9359545-b739-450d-adbd-058d32af319f,day use - desconto,10,10,false,true,1,0,0,all
304897cc-e7a5-46d6-825b-793092f6c010,Junho 2024 - 15% + 5% para pagamento avista,20,0,false,true,99,2,2,all
aa54df7d-29c1-483a-b07b-1ee97b722d8f,Agosto 2024: 10% + 5% pagamento a vista,20,0,false,true,99,2,2,all
37b54665-027e-4e10-981c-afb7da1d8bb1,Setembro 2024: 10% + 5% pagamento a vista,20,0,false,true,99,2,2,all
ff5fdeef-55ea-47da-aa3c-92a990a7117e,Novembro 2024: 10% + 5% pagamento a vista,20,0,false,true,99,2,2,all
4021a25c-14c0-4c2e-91d0-bef61bb8383a,Dezembro 2024: 10% + 5% pagamento a vista,20,0,false,true,99,2,2,all
1d428759-8686-4149-839c-733a856947a0,Proclamação da República: 15% + 5% OFF avista,20,0,false,true,99,2,2,all
36f85e66-fff8-4b69-b191-96e7e98e4b78,Natal: 15% + 5% para pagamento avista,20,0,false,true,99,4,2,all
225757e6-3ea8-4548-b552-dd19b2899f6d,Reveillon: 15% + 5% para pagamento avista,20,0,false,true,99,4,2,all
cf0272ec-1f5b-4bf3-baa1-862df383fef8,Luana - pacote especial,50,0,false,true,99,2,2,all
f6dba905-12cb-4089-9622-230049179053,Julho 2024 - Diária cortesia (pague 3 e fique 4),0,0,true,true,99,4,2,all
edba42a4-940a-4640-b4cd-1f81c1640dec,Julho FDS 2024: 10% + 5% para pagamento a vista,15,0,false,true,99,2,2,weekend
c8c97411-0847-45b6-9d07-026273d57447,Julho MDS 2024: 15% + 5% para pagamento a vista,20,0,false,true,99,2,2,all
59fdec2b-a180-4df4-a760-2b06bc3c8308,Julho 2024 - FDS - Diária cortesia (pague 2 e fique 3),0,0,true,true,3,3,2,weekend
